epoch,step,test_loss,test_psnr,train_loss,train_psnr,valid_loss,valid_psnr
0,4,,,1391.0001220703125,-49.69159698486328,,
0,9,,,1678.3048095703125,-49.74980926513672,,
0,14,,,1277.367431640625,-49.70599365234375,,
0,19,,,1032.952392578125,-49.711177825927734,,
0,24,,,1060.7586669921875,-49.73414611816406,,
0,29,,,809.1541748046875,-49.674285888671875,,
0,34,,,951.45556640625,-49.721221923828125,,
0,39,,,1106.0108642578125,-49.746826171875,,
0,44,,,797.7490234375,-49.69089126586914,,
0,49,,,780.5838623046875,-49.70909118652344,,
0,54,,,941.0724487304688,-49.76111602783203,,
0,59,,,805.6263427734375,-49.75505828857422,,
0,64,,,660.1298828125,-49.67640686035156,,
0,69,,,823.0382080078125,-49.70527267456055,,
0,74,,,731.8722534179688,-49.715248107910156,,
0,79,,,687.7588500976562,-49.64674377441406,,
0,79,,,,,1523.4129638671875,-49.71967697143555
1,84,,,777.17138671875,-49.7375602722168,,
1,89,,,758.019775390625,-49.727108001708984,,
1,94,,,755.192138671875,-49.7683219909668,,
1,99,,,788.0966796875,-49.685848236083984,,
1,104,,,715.355712890625,-49.74629592895508,,
1,109,,,592.3565673828125,-49.7014045715332,,
1,114,,,687.7777099609375,-49.72502517700195,,
1,119,,,674.083251953125,-49.69029998779297,,
1,124,,,631.8717041015625,-49.705326080322266,,
1,129,,,774.0977172851562,-49.71573257446289,,
1,134,,,732.933837890625,-49.708255767822266,,
1,139,,,664.5256958007812,-49.75779342651367,,
1,144,,,619.591796875,-49.73463439941406,,
1,149,,,652.00146484375,-49.7181510925293,,
1,154,,,552.0020141601562,-49.722530364990234,,
1,159,,,522.5238037109375,-49.71037673950195,,
1,159,,,,,763.0810546875,-49.71992874145508
2,164,,,572.0271606445312,-49.72160339355469,,
2,169,,,674.396484375,-49.739139556884766,,
2,174,,,733.9122314453125,-49.71010208129883,,
2,179,,,539.3848266601562,-49.706268310546875,,
2,184,,,720.945068359375,-49.72869873046875,,
2,189,,,731.8621826171875,-49.73582458496094,,
2,194,,,597.4022827148438,-49.744354248046875,,
2,199,,,566.1383056640625,-49.75122833251953,,
2,204,,,544.7265625,-49.69963073730469,,
2,209,,,464.9786376953125,-49.71161651611328,,
2,214,,,607.0567016601562,-49.666751861572266,,
2,219,,,530.2564697265625,-49.73804473876953,,
2,224,,,505.39166259765625,-49.664005279541016,,
2,229,,,539.45166015625,-49.70832824707031,,
2,234,,,591.426025390625,-49.71343231201172,,
2,239,,,566.5491943359375,-49.715553283691406,,
2,239,,,,,960.9491577148438,-49.72077941894531
3,244,,,479.5203857421875,-49.69578170776367,,
3,249,,,505.66748046875,-49.694732666015625,,
3,254,,,499.2929992675781,-49.682498931884766,,
3,259,,,622.5367431640625,-49.68450927734375,,
3,264,,,460.2318115234375,-49.68962097167969,,
3,269,,,567.87646484375,-49.73078155517578,,
3,274,,,529.1832275390625,-49.66916275024414,,
3,279,,,556.4570922851562,-49.72293472290039,,
3,284,,,547.324462890625,-49.71521759033203,,
3,289,,,467.4599304199219,-49.74160385131836,,
3,294,,,507.2818908691406,-49.6954231262207,,
3,299,,,485.25372314453125,-49.735843658447266,,
3,304,,,536.6475830078125,-49.71002197265625,,
3,309,,,580.7817993164062,-49.71146011352539,,
3,314,,,552.21044921875,-49.715824127197266,,
3,319,,,444.576171875,-49.73853302001953,,
3,319,,,,,648.8372192382812,-49.71821212768555
4,324,,,476.473876953125,-49.769039154052734,,
4,329,,,507.794921875,-49.740447998046875,,
4,334,,,571.904541015625,-49.756568908691406,,
4,339,,,501.0211486816406,-49.70661544799805,,
4,344,,,545.1233520507812,-49.69710159301758,,
4,349,,,569.1600341796875,-49.737205505371094,,
4,354,,,560.6180419921875,-49.717506408691406,,
4,359,,,552.2056274414062,-49.741676330566406,,
4,364,,,450.659912109375,-49.67800521850586,,
4,369,,,485.02838134765625,-49.68169021606445,,
4,374,,,539.01904296875,-49.74298858642578,,
4,379,,,507.6260986328125,-49.73147964477539,,
4,384,,,451.7098388671875,-49.72879409790039,,
4,389,,,516.453369140625,-49.73573303222656,,
4,394,,,442.5129089355469,-49.713253021240234,,
4,399,,,433.9350891113281,-49.714622497558594,,
4,399,,,,,564.1949462890625,-49.71913146972656
5,404,,,548.2257080078125,-49.674903869628906,,
5,409,,,512.3690795898438,-49.71324920654297,,
5,414,,,388.2044982910156,-49.699005126953125,,
5,419,,,473.4364318847656,-49.69133758544922,,
5,424,,,451.05633544921875,-49.70748519897461,,
5,429,,,463.19140625,-49.737125396728516,,
5,434,,,512.9228515625,-49.67284393310547,,
5,439,,,457.9803466796875,-49.72465133666992,,
5,444,,,559.237548828125,-49.74757766723633,,
5,449,,,462.695068359375,-49.74980926513672,,
5,454,,,508.2969665527344,-49.728946685791016,,
5,459,,,442.01025390625,-49.68559265136719,,
5,464,,,479.9158935546875,-49.71744918823242,,
5,469,,,474.7610168457031,-49.744384765625,,
5,474,,,402.0113525390625,-49.73700714111328,,
5,479,,,455.3452453613281,-49.69673538208008,,
5,479,,,,,490.4504089355469,-49.719268798828125
6,484,,,411.1409912109375,-49.76512908935547,,
6,489,,,468.4506530761719,-49.690223693847656,,
6,494,,,517.4275512695312,-49.729896545410156,,
6,499,,,436.4357604980469,-49.67559814453125,,
6,504,,,454.3733215332031,-49.70713424682617,,
6,509,,,560.73486328125,-49.72384262084961,,
6,514,,,533.47900390625,-49.73486328125,,
6,519,,,476.9558410644531,-49.747562408447266,,
6,524,,,551.3362426757812,-49.723358154296875,,
6,529,,,394.41192626953125,-49.69268798828125,,
